name,ra,dec,category,detail,instrument
Target-24539778,92.327625,-75.46419444444444,MAGIC_Magellan,250225_MIKE,MIKE
Target-26492118,94.39199999999998,-68.93947222222222,MAGIC_Magellan,250225_MIKE,MIKE
Target-4055326,75.00533333333333,-63.343833333333336,MAGIC_Magellan,250225_MIKE,MIKE
Target-45100741,282.64358333333325,-60.47975,MAGIC_Magellan,250225_MIKE,MIKE
Target-46420858,89.84104166666665,-65.78688888888888,MAGIC_Magellan,250225_MIKE,MIKE
Target-46595716,89.30425,-66.26733333333333,MAGIC_Magellan,250225_MIKE,MIKE
Target-46663707,88.03091666666666,-66.35266666666666,MAGIC_Magellan,250225_MIKE,MIKE
Target-46684675,88.99170833333332,-66.35430555555556,MAGIC_Magellan,250225_MIKE,MIKE
Target-46777031,88.95774999999999,-66.52925,MAGIC_Magellan,250225_MIKE,MIKE
Target-47046409,88.49362499999998,-67.04291666666667,MAGIC_Magellan,250225_MIKE,MIKE
Target-47153660,90.37354166666665,-67.20030555555556,MAGIC_Magellan,250225_MIKE,MIKE
Target-49350184,282.42504166666663,-63.59861111111111,MAGIC_Magellan,250225_MIKE,MIKE
Target-49465718,286.5049583333333,-59.1565,MAGIC_Magellan,250225_MIKE,MIKE
Target-5839126,91.88862499999999,-68.01125,MAGIC_Magellan,250225_MIKE,MIKE
Sextans_3209965,153.463893,-0.439968223,MAGIC_Magellan,250419_MagE,MagE
Sextans_6185153,154.6854083,-1.02791504,MAGIC_Magellan,250419_MagE,MagE
Sextans_10061076,154.2922035,-3.089404724,MAGIC_Magellan,250419_MagE,MagE
Sextans_10062020,153.8966268,-3.235145178,MAGIC_Magellan,250419_MagE,MagE
Sextans_1618854,152.81062814051134,-0.7407718494340445,MAGIC_Magellan,250503_MagE,MagE
Sextans_10060230,153.74810731391733,-3.091335087153152,MAGIC_Magellan,250503_MagE,MagE
Sextans_1621150,152.52178032381988,-0.8674491141212164,MAGIC_Magellan,250503_MagE,MagE
Sextans_515471,153.10932399431346,-2.888952665008461,MAGIC_Magellan,250503_MagE,MagE
Sextans_518815,153.3919270526518,-3.232015867678263,MAGIC_Magellan,250503_MagE,MagE
Sextans_514915,152.35191532819684,-2.8657193497593596,MAGIC_Magellan,250503_MagE,MagE
Hyd2-593222,185.16831104059173,-32.65466725472132,MAGIC_Magellan,250503_MagE,MagE
DELVE1-12096081,248.37531338353148,-0.7812384374263815,MAGIC_Magellan,250503_MagE,MagE
DELVE1-12126461,248.1875345171277,-1.7554177743781365,MAGIC_Magellan,250503_MagE,MagE
Cra2-4753306,159.5374610161692,-28.399843795402624,MAGIC_Magellan,250503_MagE,MagE
Cra2-8666580,161.61970686205314,-26.699487135115834,MAGIC_Magellan,250503_MagE,MagE
Cra2-5851042,170.32082442548733,-22.637140277193915,MAGIC_Magellan,250503_MagE,MagE
halo-20144111,285.98405090963143,-54.500189918563215,MAGIC_Magellan,250503_MagE,MagE
halo-28720989,284.70941306664275,-57.666029239689664,MAGIC_Magellan,250503_MagE,MagE
halo-33136812,307.3551590422157,-53.28683726780239,MAGIC_Magellan,250503_MagE,MagE
halo-33545033,300.2498324189164,-54.5846093023896,MAGIC_Magellan,250503_MagE,MagE
halo-37892749,297.29369132368004,-48.51256122165797,MAGIC_Magellan,250503_MagE,MagE
halo-47548331,311.31441453034256,-53.412837695587676,MAGIC_Magellan,250503_MagE,MagE
halo-50475095,314.75610635255106,-57.98937855680059,MAGIC_Magellan,250503_MagE,MagE
halo-17894116,291.10694468554425,-43.15476321234781,MAGIC_Magellan,250503_MagE,MagE
smith_m2,174.71545833333332,31.06145,MAGIC_Magellan,250503_MagE,MagE
halo-17923344,290.63424999999995,-43.696194444444444,MAGIC_Magellan,250624_MIKE,MIKE
halo-3755163,293.0515833333333,-58.459763888888894,MAGIC_Magellan,250624_MIKE,MIKE
halo-50475095,314.75612499999994,-57.989377777777776,MAGIC_Magellan,250624_MIKE,MIKE
Fornax_11028646,39.78808333333333,-33.36721111111111,MAGIC_Magellan,251018_MagE,MagE
Fornax_17199906,38.168833333333325,-34.81908888888889,MAGIC_Magellan,251018_MagE,MagE
Fornax_17201896,37.596916666666665,-34.98815555555556,MAGIC_Magellan,251018_MagE,MagE
Fornax_30227687,40.35545833333333,-35.530875,MAGIC_Magellan,251018_MagE,MagE
Fornax_44489533,39.84595833333333,-36.11072222222222,MAGIC_Magellan,251018_MagE,MagE
GrusII_7554418,330.3319166666666,-45.41075,MAGIC_Magellan,251018_MagE,MagE
GrusII_7562093,331.2799999999999,-45.72861666666667,MAGIC_Magellan,251018_MagE,MagE
GrusII_7572355,330.72412499999996,-46.19826666666666,MAGIC_Magellan,251018_MagE,MagE
halo_10258139,329.992625,-64.58192777777778,MAGIC_Magellan,251018_MagE,MagE
halo_11791825,9.904583333333333,-69.71785833333334,MAGIC_Magellan,251018_MagE,MagE
halo_20097291,327.78824999999995,-64.19001666666666,MAGIC_Magellan,251018_MagE,MagE
halo_2154715,114.01687499999998,-58.35987222222222,MAGIC_Magellan,251018_MagE,MagE
halo_2706682,7.819791666666665,-60.36301944444445,MAGIC_Magellan,251018_MagE,MagE
halo_2726555,351.07733333333323,-49.516577777777776,MAGIC_Magellan,251018_MagE,MagE
halo_77988,290.38587499999994,-55.323547222222224,MAGIC_Magellan,251018_MagE,MagE
halo_7914911,81.154625,-47.27936944444444,MAGIC_Magellan,251018_MagE,MagE
